2022-01,20 22-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
387081,400311,401069,405577,401747,388277,375456,360897,358903,365432,382492,393762
390920,402876,403783,405095,398970,383605,370779,359477,362246,370843,388341,398032
394391,404738,405501,403739,395593,379194,367118,359825,366940,376930,393708,401367
397484,405939,406302,401686,391879,375343,364738,361818,372505,383181,398245,403540
400191,406505,406289,399112,388075,372275,363755,365171,378449,389138,401709,404426
402484,406436,405566,396170,384395,370113,364134,369498,384329,394438,403964,404004
404302,405699,404221,392977,380994,368877,365706,374384,389795,398830,404984,402352
405550,404237,402315,389617,377968,368504,368217,379452,394600,402174,404830,399644
406103,401982,399876,386137,375361,368880,371382,384397,398603,404429,403639,396123
405820,398878,396908,382572,373179,369874,374939,389003,401748,405632,401599,392086
404572,394905,393407,378963,371422,371373,378671,393138,404042,405876,398924,387849
402258,390109,389381,375382,370104,373299,382430,396736,405530,405285,395831,383719
398836,384620,384878,371955,369273,375609,386120,399778,406269,403991,392516,379955
394348,378681,380011,368870,369011,378289,389685,402258,406314,402115,389134,376746
388936,372640,374978,366372,369429,381322,393085,404171,405696,399752,385793,374195
382859,366949,370070,364733,370632,384672,396274,405492,404423,396966,382556,372326
376492,362114,365658,364209,372687,388258,399179,406169,402477,393792,379452,371096
370308,358632,362158,364987,375593,391947,401697,406128,399829,390248,376499,370434
364838,356904,359969,367132,379256,395553,403692,405278,396454,386356,373732,370270
360602,357152,359404,370562,383485,398849,405008,403529,392354,382164,371224,370563
358028,359369,360614,375047,388011,401592,405481,400814,387588,377777,369103,371316
357370,363315,363547,380238,392512,403540,404961,397111,382288,373368,367548,372568
358656,368573,367957,385718,396648,404485,403340,392469,376687,369195,366768,374380
361689,374627,373438,391056,400099,404271,400565,387027,371115,365582,366964,376798
366094,380949,379500,395855,402594,402819,396670,381034,365991,362892,368280,379825
371398,387070,385641,399788,403935,400137,391781,374845,361783,361467,370762,383392
377117,392616,391406,402620,404013,396335,386137,368912,358939,361562,374325,387351
382820,397331,396431,404217,402814,391622,380080,363744,357812,363284,378756,391478
388170,401069,400457,404548,400424,386308,374046,359839,358581,366557,383734,395492
392940,403783,403337,403676,397021,380775,368524,357607,361205,371125,388870,399088
397002,405501,405029,401747,392866,375456,364003,357289,365432,376593,393762,401964
